City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
267,Chokurdakh,RU,2021-09-19 01:42:52,70.6333,147.9167,35.67,55,69,7.54
268,Roma,US,2021-09-19 01:42:53,43.2128,-75.4557,64.26,88,1,0.0
269,Vestmannaeyjar,IS,2021-09-19 01:42:21,63.4427,-20.2734,51.17,89,15,17.94
270,Togul,RU,2021-09-19 01:42:53,53.465,85.9128,47.41,55,99,6.76
271,Husavik,IS,2021-09-19 01:42:53,66.0449,-17.3389,42.71,84,72,11.36
272,Turochak,RU,2021-09-19 01:42:54,52.2576,87.1224,49.87,89,100,1.52
273,Marana,US,2021-09-19 01:42:54,32.4367,-111.2254,89.94,58,40,6.91
274,Cross Lanes,US,2021-09-19 01:39:35,38.4204,-81.7907,73.81,93,40,0.0
275,Broome,US,2021-09-19 01:42:54,42.2506,-75.833,66.02,79,1,9.22
276,Kologriv,RU,2021-09-19 01:42:55,58.8275,44.3178,29.77,96,10,4.63
277,Celestun,MX,2021-09-19 01:42:55,20.8667,-90.4,81.9,84,65,13.89
278,Cidreira,BR,2021-09-19 01:42:55,-30.1811,-50.2056,63.86,95,15,4.63
279,Wilmington,US,2021-09-19 01:42:56,34.2257,-77.9447,78.91,84,1,0.0
280,Braganca,BR,2021-09-19 01:42:56,-1.0536,-46.7656,74.19,90,10,2.77
281,Tazovskiy,RU,2021-09-19 01:42:56,67.4667,78.7,38.05,92,77,10.45
282,Libertador General San Martin,AR,2021-09-19 01:42:57,-23.8064,-64.7876,72.93,49,66,3.6
283,Sarkand,KZ,2021-09-19 01:42:57,45.41,79.9186,71.02,23,81,3.13
284,Dangriga,BZ,2021-09-19 01:42:57,16.9692,-88.2321,82.98,82,79,9.31
285,Perth,AU,2021-09-19 01:42:58,-31.9333,115.8333,63.0,90,75,5.75
286,Mehamn,NO,2021-09-19 01:38:04,71.0357,27.8492,41.11,78,0,12.17
287,Piranshahr,IR,2021-09-19 01:42:58,36.701,45.1413,55.18,54,0,0.2
288,Chino Valley,US,2021-09-19 01:42:58,34.7575,-112.4538,74.37,80,90,12.66
289,Vostok,RU,2021-09-19 01:42:59,46.4856,135.8833,53.64,39,92,7.94
290,Bronnoysund,NO,2021-09-19 01:42:59,65.4625,12.1997,50.0,71,90,11.5
291,Suntar,RU,2021-09-19 01:42:59,62.1444,117.6319,42.96,52,41,2.93
292,Vila Do Maio,CV,2021-09-19 01:43:00,15.1333,-23.2167,79.59,83,99,7.74
293,Durban,ZA,2021-09-19 01:38:50,-29.8579,31.0292,59.02,80,1,4.0
